MeterNo,SIP End Date and time,V,V,V,A,A,A,kWh Abs,kVArh+ Abs,kVArh- Abs,kVAh Abs,,DataStatus,Units
,,,,,,,,,,,,,,
27299286,19-05-2023 00:30,225.6 V,227.24 V,227.69 V,0.12 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.04 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,19-05-2023 01:00,227.16 V,228.47 V,229.33 V,0.12 A,0.12 A,0.12 A,0.01 kWh Abs,0 kVArh+ Abs,0.04 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,19-05-2023 01:30,226.96 V,228.97 V,229.45 V,0.12 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,19-05-2023 02:00,227.35 V,229.71 V,230.44 V,0.12 A,0.12 A,0.12 A,0.01 kWh Abs,0 kVArh+ Abs,0.04 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,19-05-2023 02:30,227.75 V,230.33 V,230.92 V,0.12 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,19-05-2023 03:00,227.4 V,229.65 V,230.18 V,0.12 A,0.12 A,0.12 A,0.01 kWh Abs,0 kVArh+ Abs,0.04 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,19-05-2023 03:30,228.24 V,229.92 V,230.53 V,0.12 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,19-05-2023 04:00,229.01 V,230.81 V,231.3 V,0.12 A,0.12 A,0.12 A,0.01 kWh Abs,0 kVArh+ Abs,0.04 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,19-05-2023 04:30,229.5 V,231.41 V,231.97 V,0.12 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0 kVAh Abs,-1,1,2
