MeterNo,SIP End Date and time,V,V,V,A,A,A,Hz,kWh(I) Tot,kWh(E) Tot,kVArh(Lg)-Wh(I),kVArh(Ld)-Wh(E),kVArh(Lg)-Wh(E),kVArh(Ld)-Wh(I),kVAh-Wh(I),kVAh-Wh(E),kWh(I-E) Bi,,,DataStatus,Units
,,,,,,,,,,,,,,,,,,,,,
29559724,18-08-2025 00:30,242.18 V,239.27 V,241.27 V,0.806 A,1.469 A,0.765 A,49.908 Hz,0.364 kWh(I) Tot,0 kWh(E) Tot,0.042 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.366 kVAh-Wh(I),0 kVAh-Wh(E),0.364 kWh(I-E) Bi,0.995,1,1,2
29559724,18-08-2025 01:00,245.16 V,242.43 V,244.15 V,0.776 A,1.43 A,0.72 A,49.989 Hz,0.354 kWh(I) Tot,0 kWh(E) Tot,0.042 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.356 kVAh-Wh(I),0 kVAh-Wh(E),0.354 kWh(I-E) Bi,0.994,1,1,2
29559724,18-08-2025 01:30,247.07 V,244.55 V,246.08 V,0.752 A,1.37 A,0.701 A,49.993 Hz,0.345 kWh(I) Tot,0 kWh(E) Tot,0.039 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.347 kVAh-Wh(I),0 kVAh-Wh(E),0.345 kWh(I-E) Bi,0.994,1,1,2
29559724,18-08-2025 02:00,248.89 V,246.33 V,247.77 V,0.719 A,1.314 A,0.703 A,49.989 Hz,0.336 kWh(I) Tot,0 kWh(E) Tot,0.042 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.339 kVAh-Wh(I),0 kVAh-Wh(E),0.336 kWh(I-E) Bi,0.991,1,1,2
29559724,18-08-2025 02:30,250.04 V,247.34 V,248.84 V,0.69 A,1.277 A,0.657 A,49.983 Hz,0.323 kWh(I) Tot,0 kWh(E) Tot,0.041 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.326 kVAh-Wh(I),0 kVAh-Wh(E),0.323 kWh(I-E) Bi,0.991,1,1,2
29559724,18-08-2025 03:00,250.2 V,247.68 V,249.07 V,0.699 A,1.25 A,0.662 A,49.989 Hz,0.322 kWh(I) Tot,0 kWh(E) Tot,0.044 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.325 kVAh-Wh(I),0 kVAh-Wh(E),0.322 kWh(I-E) Bi,0.991,1,1,2
29559724,18-08-2025 03:30,250.98 V,248.48 V,249.84 V,0.705 A,1.26 A,0.641 A,49.928 Hz,0.323 kWh(I) Tot,0 kWh(E) Tot,0.042 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.326 kVAh-Wh(I),0 kVAh-Wh(E),0.323 kWh(I-E) Bi,0.991,1,1,2
29559724,18-08-2025 04:00,251.25 V,248.68 V,249.93 V,0.684 A,1.198 A,0.634 A,49.841 Hz,0.312 kWh(I) Tot,0 kWh(E) Tot,0.041 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.314 kVAh-Wh(I),0 kVAh-Wh(E),0.312 kWh(I-E) Bi,0.994,1,1,2
29559724,18-08-2025 04:30,252.39 V,250.05 V,251.17 V,0.664 A,1.17 A,0.611 A,49.964 Hz,0.304 kWh(I) Tot,0 kWh(E) Tot,0.041 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.308 kVAh-Wh(I),0 kVAh-Wh(E),0.304 kWh(I-E) Bi,0.987,1,1,2
29559724,18-08-2025 05:00,252.57 V,250.01 V,251.03 V,0.65 A,1.146 A,0.67 A,49.992 Hz,0.307 kWh(I) Tot,0 kWh(E) Tot,0.039 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.309 kVAh-Wh(I),0 kVAh-Wh(E),0.307 kWh(I-E) Bi,0.994,1,1,2
29559724,18-08-2025 05:30,253.02 V,250.59 V,251.61 V,0.644 A,1.106 A,0.732 A,50.026 Hz,0.31 kWh(I) Tot,0 kWh(E) Tot,0.04 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.313 kVAh-Wh(I),0 kVAh-Wh(E),0.31 kWh(I-E) Bi,0.99,1,1,2
29559724,18-08-2025 06:00,252.08 V,249.86 V,250.75 V,0.648 A,1.06 A,0.74 A,49.986 Hz,0.305 kWh(I) Tot,0 kWh(E) Tot,0.037 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.307 kVAh-Wh(I),0 kVAh-Wh(E),0.305 kWh(I-E) Bi,0.993,1,1,2
29559724,18-08-2025 06:30,250.75 V,248.86 V,249.6 V,0.643 A,1.003 A,0.654 A,49.86 Hz,0.285 kWh(I) Tot,0 kWh(E) Tot,0.038 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.287 kVAh-Wh(I),0 kVAh-Wh(E),0.285 kWh(I-E) Bi,0.993,1,1,2
